Time,ActiveClones,CumulativeDrivers,CumulativePassengers
16.6591,14,34,144
16.7442,14,34,144
16.7542,14,34,144
16.818,13,34,144
16.8302,14,34,145
16.8611,14,34,145
16.8839,14,34,145
16.9057,14,34,145
16.9136,14,34,145
16.9514,14,34,145
16.9572,14,34,145
16.9792,14,34,145
16.9819,15,34,146
17.0218,15,34,146
17.0354,15,34,146
17.0451,15,34,146
17.0533,15,34,146
17.0687,16,34,147
17.0867,16,34,147
17.1137,15,34,147
17.1298,15,34,147
17.1581,15,34,147
17.1582,16,34,148
17.1656,15,34,148
17.1688,15,34,148
17.1974,15,34,148
17.2321,15,34,148
17.2423,15,34,148
17.2571,15,34,148
17.2583,15,34,148
17.2724,15,34,148
17.2744,15,34,148
17.2751,15,34,148
17.293,15,34,148
17.2939,15,34,148
17.2962,15,34,148
17.3005,15,34,148
17.3035,16,35,148
17.3066,16,35,148
17.313,16,35,148
17.315,16,35,148
17.3489,16,35,148
17.3497,16,35,148
17.3566,16,35,148
17.3831,17,35,149
17.3862,18,35,150
17.3967,18,35,150
17.434,18,35,150
17.4341,17,35,150
17.4426,17,35,150
17.4726,17,35,150
17.478,17,35,150
17.5017,16,35,150
17.5044,17,35,151
17.5248,17,35,151
17.5271,17,35,151
17.5478,17,35,151
17.549,17,35,151
17.5507,17,35,151
17.5553,18,35,152
17.5608,19,36,152
17.5724,20,37,152
17.5729,21,37,153
17.5918,20,37,153
17.5985,19,37,153
17.6059,19,37,153
17.6064,19,37,153
17.6425,19,37,153
17.6558,18,37,153
17.6652,18,37,153
17.6946,18,37,153
17.6949,19,37,154
17.7226,18,37,154
17.7265,18,37,154
17.7554,17,37,154
17.7591,17,37,154
17.8197,17,37,154
17.843,18,37,155
17.8826,18,37,155
17.8911,19,37,156
17.8931,19,37,156
17.9016,19,37,156
17.9065,20,37,157
17.9234,20,37,157
17.9406,19,37,157
17.9406,20,37,158
17.9617,20,37,158
17.9704,20,37,158
17.9746,19,37,158
17.9805,18,37,158
17.9935,18,37,158
18.0231,17,37,158
18.0249,16,37,158
18.0528,16,37,158
18.0672,16,37,158
18.095,16,37,158
18.1257,16,37,158
18.1273,15,37,158
18.1567,15,37,158
18.1574,15,37,158
18.1675,15,37,158
18.2187,15,37,158
18.2267,14,37,158
18.2272,14,37,158
18.2353,13,37,158
18.2446,12,37,158
18.2468,13,37,159
18.2741,12,37,159
18.2942,13,37,160
18.3101,13,37,160
18.3209,12,37,160
18.3253,11,37,160
18.3333,10,37,160
18.3405,10,37,160
18.3867,10,37,160
18.4037,10,37,160
18.4179,10,37,160
18.4239,10,37,160
18.4253,10,37,160
18.4265,10,37,160
18.4312,10,37,160
18.4316,10,37,160
18.4336,9,37,160
18.5071,9,37,160
18.5186,9,37,160
18.5233,8,37,160
18.533,9,37,161
18.5612,9,37,161
18.5772,9,37,161
18.5832,10,37,162
18.6202,10,37,162
18.6222,10,37,162
18.6547,10,37,162
18.6724,10,37,163
18.6914,10,37,163
18.6928,11,38,163
18.7117,11,38,163
18.7368,11,38,163
18.7417,11,38,163
18.7859,10,38,163
18.8223,10,38,163
18.8238,10,38,163
18.8364,10,38,163
18.8439,10,38,163
18.8544,10,38,163
18.857,10,38,163
18.8677,10,38,163
18.8707,10,38,163
18.9283,10,38,163
18.9553,10,38,163
18.9654,10,38,163
18.9819,11,38,164
18.9829,11,38,164
18.9845,12,38,165
19.0085,12,38,165
19.0086,12,38,165
19.0395,12,38,165
19.0407,12,38,165
19.0582,12,38,165
19.061,12,38,165
19.0691,12,38,165
19.1011,11,38,165
19.1292,11,38,165
19.1323,11,38,165
19.157,11,38,165
19.1811,11,38,165
19.1933,12,38,166
19.1998,12,38,166
19.2231,12,38,166
19.2264,12,38,166
19.2274,12,38,166
19.2457,12,38,166
19.2833,12,38,166
19.3003,12,38,166
19.3469,12,38,166
19.3725,12,38,166
19.3983,11,38,166
19.4165,11,38,166
19.424,11,38,166
19.4297,11,38,166
19.4402,11,38,166
19.4664,11,38,166
19.4713,11,38,166
19.5083,11,38,166
19.5455,10,38,166
19.5693,10,38,166
19.5802,10,38,166
19.5814,10,38,167
19.5843,10,38,167
19.5991,10,38,167
19.6159,10,38,167
19.6223,10,38,167
19.6292,9,38,167
19.6338,9,38,167
19.6379,9,38,167
19.6513,9,38,167
19.6561,8,38,167
19.6966,8,38,167
19.7061,8,38,167
19.7084,8,38,167
19.7119,8,38,167
19.7288,8,38,167
19.8067,8,38,167
19.8356,8,38,167
19.8368,8,38,167
19.8379,8,38,167
19.8438,8,38,167
19.8511,8,38,167
19.8654,8,38,167
19.877,8,38,167
19.8807,8,38,167
19.8943,9,38,168
19.9146,10,38,169
19.9241,10,38,169
19.9772,10,38,169
19.9795,10,38,169
20.0069,10,38,169
20.0211,10,38,169
20.0246,10,38,169
20.0302,10,38,169
20.0319,10,38,169
20.056,11,38,170
20.064,11,38,170
20.0687,11,38,170
20.0825,11,38,170
20.1061,11,38,170
20.13,11,38,170
20.1453,11,38,170
20.1971,10,38,170
20.2386,10,38,170
20.2413,10,38,170
20.2631,10,38,170
20.2663,10,38,170
20.2875,10,38,170
20.3013,10,38,170
20.382,10,38,170
20.3901,10,38,170
20.4007,11,38,171
20.4297,11,38,171
20.4356,12,38,172
20.4544,12,38,172
20.474,12,38,172
20.4791,12,38,172
20.4877,12,38,172
20.5121,13,38,173
20.5139,13,38,173
20.522,13,38,173
20.5501,13,38,173
20.5603,13,38,174
20.5717,13,38,174
20.5723,13,38,174
20.5727,13,38,174
20.5791,12,38,174
20.6206,12,38,174
20.623,12,38,174
20.6262,12,38,174
20.6343,12,38,174
20.6422,13,38,175
20.6426,14,38,176
20.6553,14,38,176
20.6632,14,38,176
20.6724,14,38,176
20.6831,14,38,176
20.7006,14,38,176
20.7039,14,38,176
20.713,14,38,176
20.7298,14,38,176
20.7578,14,38,176
20.7717,15,38,177
20.8001,16,38,178
20.812,15,38,178
20.824,15,38,178
20.835,15,38,178
20.8391,15,38,178
20.8843,15,38,178
20.902,14,38,178
20.9172,14,38,178
20.9318,14,38,178
20.9821,13,38,178
20.9929,13,38,178
20.9981,13,38,178
21.0181,12,38,178
21.028,12,38,178
